Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
mSEWEp	Point Reyes Mountain Beaver	Aplodontia rufa phaea	M023	Southern Vancouverian Montane-Foothill Forest	1	7	129.3	143.2	10
rCAISx	Central American Indigo Snake	Drymarchon melanurus	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	2	28	41,046.0	44,752.8	8
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M008	Southern Mesic Mixed Broadleaf Forest	1	8	12,459.7	12,459.7	0
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M309	Southeastern Coastal Plain Patch Prairie	2	3	8,465.6	8,465.6	0
rDHNSx	Dusty Hog-nosed Snake	Heterodon gloydi	M057	Eastern North American Dune & Coastal Grassland	2	8	8,189.6	8,189.6	0
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M093	Great Basin Saltbush Scrub	1	3	715.1	786,198.0	100
rSLCOx	Slowinski's Cornsnake	Pantherophis slowinskii	M007	Longleaf Pine Woodland	1	20	157,045.1	919,146.8	83
bYWARx	Yellow Warbler	Dendroica petechia	M022	Southern Rocky Mountain Lower Montane Forest	1	4	572,688.1	3,285,169.2	83
bEAWPx	Eastern Wood-pewee	Contopus virens	M151	Great Plains Forest & Woodland	3	4	85,621.1	335,724.3	74
bEVGRx	Evening Grosbeak	Coccothraustes vespertinus	12.A	Barren	1	3	22,778.5	66,097.6	66
bHBKIx	Hook-billed Kite	Chondrohierax uncinatus	M036	Interior Warm & Cool Desert Riparian Forest	2	7	23,649.4	23,649.4	0
bWESJx	Western Scrub-jay	Aphelocoma californica	M022	Southern Rocky Mountain Lower Montane Forest	1	4	4,804,156.5	6,305,443.3	24
bYWARx	Yellow Warbler	Dendroica petechia	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	1	6	272,336.0	2,821,252.2	90
rEBTUb	Florida Box Turtle	Terrapene carolina bauri	M134	Caribbean Coastal Lowland Dry Forest	1	3	8,409.8	23,195.2	64
rFLBRx	Florida Brownsnake	Storeria victa	M033	Southern Coastal Plain Basin Swamp & Flatwoods	9	12	544,387.1	544,387.1	0
rFLBRx	Florida Brownsnake	Storeria victa	M162	Florida Peninsula Scrub & Herb	1	1	125,624.9	125,624.9	0
rMGLIx	Mimic Glass Lizard	Ophisaurus mimicus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	1	12	0.0	865,013.8	100
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M086	Chihuahuan Desert Scrub	4	5	2,218.5	2,218.5	0
mFBBAx	Florida Bonneted Bat	Eumops floridanus	M161	Pond-cypress Basin Swamp	1	3	24,337.4	24,337.4	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M054	Central Lowlands Tallgrass Prairie	7	7	4,606,664.9	4,606,664.9	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M154	Southern Great Plains Floodplain Forest & Woodland	2	2	1,157,896.0	1,157,896.0	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	958,138.7	958,138.7	0
bYWARx	Yellow Warbler	Dendroica petechia	M154	Southern Great Plains Floodplain Forest & Woodland	1	2	925,597.1	925,615.5	0
mBPGOx	Baird's Pocket Gopher	Geomys breviceps	M054	Central Lowlands Tallgrass Prairie	1	7	0.0	178,019.0	100
mFBBAx	Florida Bonneted Bat	Eumops floridanus	8.B	Quarries, Mines, Gravel Pits and Oil Wells	1	1	539.2	539.2	0
mPMBAx	Pallas's Mastiff Bat	Molossus molossus	M134	Caribbean Coastal Lowland Dry Forest	1	3	1,697.0	1,697.0	0
rTSLIx	Texas Spiny Lizard	Sceloporus olivaceus	M033	Southern Coastal Plain Basin Swamp & Flatwoods	2	12	64,789.8	64,789.8	0
rTSLIx	Texas Spiny Lizard	Sceloporus olivaceus	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	295,217.9	295,217.9	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	3	5	277,425.9	315,696.2	12
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M161	Pond-cypress Basin Swamp	3	3	219,269.9	219,269.9	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M171	Great Basin-Intermountain Dry Shrubland & Grassland	2	7	1,571.8	1,571.8	0
rEBTUb	Florida Box Turtle	Terrapene carolina bauri	M033	Southern Coastal Plain Basin Swamp & Flatwoods	1	12	282,591.3	504,978.8	44
rFLBRx	Florida Brownsnake	Storeria victa	M066	Atlantic & Gulf Coastal Fresh-Oligohaline Tidal Marsh	2	4	12,947.4	12,947.4	0
rFLBRx	Florida Brownsnake	Storeria victa	M134	Caribbean Coastal Lowland Dry Forest	3	3	23,195.2	23,195.2	0
rSTSNx	Short-tailed Snake	Lampropeltis extenuata	M134	Caribbean Coastal Lowland Dry Forest	2	3	408.7	408.7	0
rBHSKx	Broad-headed Skink	Plestiodon laticeps	M151	Great Plains Forest & Woodland	1	4	0.0	41,753.0	100
rBHSKx	Broad-headed Skink	Plestiodon laticeps	M883	Appalachian-Central Interior-Northeastern Mesic Forest	6	6	7,811,975.1	7,811,975.1	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M022	Southern Rocky Mountain Lower Montane Forest	4	4	71.4	71.4	0
rFHSNx	Flat-headed Snake	Tantilla gracilis	M010	Madrean Lowland Evergreen Woodland	1	3	82.9	25,728.2	100
rFSSKx	Florida Sand Skink	Plestiodon reynoldsi	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	80,383.6	80,411.4	0
mPASHx	Pacific Shrew	Sorex pacificus	M036	Interior Warm & Cool Desert Riparian Forest	2	7	43,337.3	43,337.3	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	3	4	279.5	279.5	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M130	Tamaulipan Scrub & Grassland	6	6	4,522,547.2	4,522,547.2	0
rFHSNx	Flat-headed Snake	Tantilla gracilis	M033	Southern Coastal Plain Basin Swamp & Flatwoods	1	12	305,945.8	372,184.5	18
rFLWOx	Florida Wormlizard	Rhineura floridana	12.A	Barren	1	3	22,102.3	25,763.1	14
rFLWOx	Florida Wormlizard	Rhineura floridana	M134	Caribbean Coastal Lowland Dry Forest	3	3	1,804.5	1,804.5	0
rPINEl	Black Pinesnake	Pituophis melanoleucus lodingi	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	1	8	18,556.7	18,556.7	0
bYWARx	Yellow Warbler	Dendroica petechia	M033	Southern Coastal Plain Basin Swamp & Flatwoods	4	12	197,217.9	200,675.5	2
rBHSKx	Broad-headed Skink	Plestiodon laticeps	M033	Southern Coastal Plain Basin Swamp & Flatwoods	2	12	371,163.1	1,686,661.4	78
rBHSKx	Broad-headed Skink	Plestiodon laticeps	M134	Caribbean Coastal Lowland Dry Forest	3	3	13,226.8	13,226.8	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	9.A	Introduced & Semi Natural Vegetation	5	6	6,281,762.1	6,448,001.0	3
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M116	Great Plains Cliff, Scree & Rock Vegetation	1	2	27,399.5	27,515.2	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	19,671.0	19,671.0	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	8	8	574,202.3	574,202.3	0
rFHSNx	Flat-headed Snake	Tantilla gracilis	M054	Central Lowlands Tallgrass Prairie	3	7	627,613.9	2,945,996.6	79
rTSLIx	Texas Spiny Lizard	Sceloporus olivaceus	M028	Great Plains Floodplain Forest	1	5	54,152.0	256,324.7	79
bPISIx	Pine Siskin	Carduelis pinus	8.A	Developed & Urban	2	4	31,646,593.1	37,708,881.7	16
bPISIx	Pine Siskin	Carduelis pinus	M496	West-Central North American Boreal Forest	2	2	147,196.3	2,529,422.0	94
bPIWOx	Pileated Woodpecker	Dryocopus pileatus	M034	Rocky Mountain-Great Basin Montane Riparian Forest	6	6	188,279.0	190,599.4	1
bYGVIx	Yellow-green Vireo	Vireo flavoviridis	9.A	Introduced & Semi Natural Vegetation	1	6	0.0	97.8	100
mCTPGx	Central Texas Pocket Gopher	Geomys texensis	9.A	Introduced & Semi Natural Vegetation	3	6	68,395.9	68,395.9	0
mPASHc	Pacific Shrew (cascadensis)	Sorex pacificus cascadensis	M009	Californian Forest & Woodland	2	9	143,106.7	182,707.0	22
bAMWOx	American Woodcock	Scolopax minor	9.A	Introduced & Semi Natural Vegetation	3	6	24,029.0	4,702,655.9	99
bAMWOx	American Woodcock	Scolopax minor	M007	Longleaf Pine Woodland	5	20	3,141,778.1	6,213,810.1	49
bMERLx	Merlin	Falco columbarius	M009	Californian Forest & Woodland	5	9	3,200,883.2	5,285,588.9	39
bMERLx	Merlin	Falco columbarius	M101	Vancouverian Alpine Tundra	1	3	15,440.1	34,580.3	55
mCSMOx	Coast Mole	Scapanus orarius	8.A	Developed & Urban	1	4	327,054.5	884,211.9	63
mCSMOx	Coast Mole	Scapanus orarius	9.A	Introduced & Semi Natural Vegetation	1	6	260,091.1	264,119.8	2
mDFWOs	San Joaquin Valley Wood Rat	Neotoma fuscipes riparia	M023	Southern Vancouverian Montane-Foothill Forest	1	7	0.0	5,130.2	100
mNBLEx	Northern Bog Lemming	Synaptomys borealis	M029	Central Hardwoods Floodplain Forest	1	9	593.2	670.7	12
mOLDEx	Oldfield Deermouse	Peromyscus polionotus	M007	Longleaf Pine Woodland	8	20	2,204,039.8	3,160,259.1	30
rIGLIx	Island Glass Lizard	Ophisaurus compressus	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	1	5	649,587.3	716,394.2	9
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M309	Southeastern Coastal Plain Patch Prairie	2	3	99,868.2	99,868.2	0
mCGGSx	Cascade Golden-mantled Ground Squirrel	Callospermophilus saturatus	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	5	6	41,426.6	41,681.2	1
mCSMOx	Coast Mole	Scapanus orarius	M009	Californian Forest & Woodland	3	9	966,580.7	1,062,914.3	9
mDFWOs	San Joaquin Valley Wood Rat	Neotoma fuscipes riparia	M009	Californian Forest & Woodland	2	9	0.0	2,622.4	100
mNBLEx	Northern Bog Lemming	Synaptomys borealis	M034	Rocky Mountain-Great Basin Montane Riparian Forest	5	6	3,465.9	3,465.9	0
rIGLIx	Island Glass Lizard	Ophisaurus compressus	M700	Caribbean-Mesoamerican Coastal Dune & Beach Vegetation	2	3	4,048.7	4,201.7	4
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M029	Central Hardwoods Floodplain Forest	4	9	285,312.6	285,312.6	0
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	4	4	261,819.0	261,819.0	0
bYBFLx	Yellow-bellied Flycatcher	Empidonax flaviventris	M496	West-Central North American Boreal Forest	2	2	2,408,678.6	2,408,678.6	0
bALHUx	Allen's Hummingbird	Selasphorus sasin	M050	Southern Vancouverian Lowland Grassland & Shrubland	2	4	182,991.3	184,063.6	1
bBOCHx	Boreal Chickadee	Poecile hudsonica	M020	Rocky Mountain Subalpine-High Montane Conifer Forest	6	10	2,052,220.0	2,097,002.6	2
bCOYEx	Common Yellowthroat	Geothlypis trichas	9.A	Introduced & Semi Natural Vegetation	4	6	6,420,902.2	9,284,267.7	31
bCOYEx	Common Yellowthroat	Geothlypis trichas	M005	Western Atlantic & Caribbean Mangrove	1	1	260,913.2	260,913.2	0
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M014	Laurentian-Acadian Hardwood - Conifer Mesic Forest	5	7	15,819,532.1	17,420,259.4	9
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M026	Intermountain Singleleaf Pinyon - Utah Juniper - Western Juniper Woodland	4	4	8,548,576.7	9,018,682.3	5
bRCKIx	Ruby-crowned Kinglet	Regulus calendula	M031	Southern Coastal Plain Floodplain Forest	18	22	12,175,338.7	12,252,583.0	1
rSHNSx	Southern Hog-nosed Snake	Heterodon simus	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	4	8	302,455.4	352,024.8	14
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M015	Edwards Plateau Forest & Woodland	4	4	4,897,089.5	4,897,089.5	0
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	1	5	957.6	957.6	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	1,710,014.8	1,710,014.8	0
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	12.A	Barren	1	3	44,628.0	55,572.8	20
bGCRFx	Gray-crowned Rosy-finch	Leucosticte tephrocotis	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	3	9	349,694.7	380,023.7	8
bHOREx	Hoary Redpoll	Carduelis hornemanni	M053	Great Plains Shortgrass Prairie	1	2	0.0	642,456.2	100
bHOREx	Hoary Redpoll	Carduelis hornemanni	M159	Laurentian & Acadian Pine - Hardwood Forest & Woodland	1	2	783,698.3	1,520,523.2	48
bLASPx	Lark Sparrow	Chondestes grammacus	M086	Chihuahuan Desert Scrub	5	5	9,724,056.6	9,724,056.6	0
bRLHAx	Rough-legged Hawk	Buteo lagopus	M053	Great Plains Shortgrass Prairie	1	2	15,610,121.6	23,191,503.8	33
bRLHAx	Rough-legged Hawk	Buteo lagopus	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	1	6	12,314.3	446,171.6	97
bSOSPx	Song Sparrow	Melospiza melodia	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	4	5	182,506.3	881,713.0	79
bSOSPx	Song Sparrow	Melospiza melodia	M053	Great Plains Shortgrass Prairie	2	2	15,903,716.3	23,193,773.3	31
bSOSPx	Song Sparrow	Melospiza melodia	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	2	2	56,309.8	64,669.1	13
mESSKx	Eastern Spotted Skunk	Spilogale putorius	M502	Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland	17	19	11,615,867.9	11,782,139.9	1
rCAISx	Central American Indigo Snake	Drymarchon melanurus	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	18,968.8	18,968.8	0
rDHNSx	Dusty Hog-nosed Snake	Heterodon gloydi	7.B.2	Pasture & Hay Field Crop	1	1	2,717,230.2	2,717,230.2	0
rDHNSx	Dusty Hog-nosed Snake	Heterodon gloydi	M015	Edwards Plateau Forest & Woodland	2	4	14,642.4	88,781.3	84
rDHNSx	Dusty Hog-nosed Snake	Heterodon gloydi	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	1	4	0.0	1,271.9	100
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M159	Laurentian & Acadian Pine - Hardwood Forest & Woodland	1	2	774,824.1	1,483,643.3	48
bRLHAx	Rough-legged Hawk	Buteo lagopus	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	20,076.1	66,666.0	70
bSNOWx	Snowy Owl	Bubo scandiacus	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	1	6	17,629.8	630,540.3	97
bSOSPx	Song Sparrow	Melospiza melodia	M035	Vancouverian Flooded & Swamp Forest	3	3	101,430.6	101,430.6	0
bSOSPx	Song Sparrow	Melospiza melodia	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	4	4	1,043,745.1	1,043,745.1	0
mESSKx	Eastern Spotted Skunk	Spilogale putorius	M883	Appalachian-Central Interior-Northeastern Mesic Forest	4	6	4,892,522.6	6,451,230.2	24
rCAISx	Central American Indigo Snake	Drymarchon melanurus	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	551,828.3	551,828.3	0
mWGSQx	Western Gray Squirrel	Sciurus griseus	M023	Southern Vancouverian Montane-Foothill Forest	5	7	6,683,060.8	7,152,525.1	7
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	5,806,943.4	5,806,943.4	0
bBRBLx	Brewer's Blackbird	Euphagus cyanocephalus	M109	Western North American Freshwater Aquatic Vegetation	1	1	243.1	243.1	0
bHOREx	Hoary Redpoll	Carduelis hornemanni	7.B.2	Pasture & Hay Field Crop	1	1	20,356,646.1	20,356,646.1	0
bLASPx	Lark Sparrow	Chondestes grammacus	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	6	28	5,833,076.2	23,086,269.5	75
bLASPx	Lark Sparrow	Chondestes grammacus	M091	Warm Interior Chaparral	4	4	877,162.3	877,162.3	0
bSNOWx	Snowy Owl	Bubo scandiacus	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	3	4	928,362.6	989,589.0	6
bSOSPx	Song Sparrow	Melospiza melodia	M023	Southern Vancouverian Montane-Foothill Forest	2	7	843,021.5	7,436,390.9	89
bSOSPx	Song Sparrow	Melospiza melodia	M073	Vancouverian Lowland Marsh, Wet Meadow & Shrubland	4	6	610,258.7	658,664.8	7
bSOSPx	Song Sparrow	Melospiza melodia	M076	Warm Desert Lowland Freshwater Marsh, Wet Meadow & Shrubland	2	2	191,295.5	191,295.5	0
mESSKx	Eastern Spotted Skunk	Spilogale putorius	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	24	28	24,063,680.1	24,404,125.9	1
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M086	Chihuahuan Desert Scrub	5	5	9,531,037.8	9,531,037.8	0
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M091	Warm Interior Chaparral	4	4	218,716.7	218,716.7	0
mPASHc	Pacific Shrew (cascadensis)	Sorex pacificus cascadensis	M035	Vancouverian Flooded & Swamp Forest	2	3	748.1	748.1	0
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M052	Great Plains Sand Grassland & Shrubland	1	2	1,891,039.5	2,037,020.2	7
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	1	5	1,100.0	1,100.0	0
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M057	Eastern North American Dune & Coastal Grassland	2	8	34,827.6	34,827.6	0
mPJMOx	Pacific Jumping Mouse	Zapus trinotatus	M024	Vancouverian Lowland & Montane Forest	9	10	6,638,245.2	6,670,654.2	0
mCGMOx	Chihuahuan Grasshopper Mouse	Onychomys arenicola	M087	Chihuahuan Semi-Desert Grassland	1	5	4,282,458.8	4,751,166.3	10
mCOORx	Coues' Oryzomys	Oryzomys couesi	M071	Great Plains Marsh, Wet Meadow, Shrubland & Playa	3	4	41.0	41.0	0
mCSMOx	Coast Mole	Scapanus orarius	M101	Vancouverian Alpine Tundra	1	3	9,948.3	30,869.0	68
mNBLEx	Northern Bog Lemming	Synaptomys borealis	M024	Vancouverian Lowland & Montane Forest	4	10	643,197.6	647,146.9	1
rIGLIx	Island Glass Lizard	Ophisaurus compressus	M060	Eastern North American Coastal Beach & Rocky Shore	1	8	3,062.9	10,198.0	70
rPRSKx	Prairie Skink	Plestiodon septentrionalis	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	1	28	0.0	2,722,233.8	100
mOLDEx	Oldfield Deermouse	Peromyscus polionotus	M057	Eastern North American Dune & Coastal Grassland	3	8	5,010.6	5,010.6	0
mPASHc	Pacific Shrew (cascadensis)	Sorex pacificus cascadensis	M023	Southern Vancouverian Montane-Foothill Forest	1	7	344,674.0	694,049.0	50
mPASHc	Pacific Shrew (cascadensis)	Sorex pacificus cascadensis	M024	Vancouverian Lowland & Montane Forest	9	10	704,707.2	709,728.0	1
mPJMOx	Pacific Jumping Mouse	Zapus trinotatus	M009	Californian Forest & Woodland	1	9	710,027.3	1,055,867.4	33
mPJMOx	Pacific Jumping Mouse	Zapus trinotatus	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	2	6	44.2	60,372.5	100
rCFLSx	Common Five-lined Skink	Plestiodon fasciatus	M154	Southern Great Plains Floodplain Forest & Woodland	2	2	789,882.8	789,882.8	0
aHUSPx	Hurter's Spadefoot	Scaphiopus hurterii	M309	Southeastern Coastal Plain Patch Prairie	2	3	244,867.4	244,867.4	0
aWBSAx	Webster's Salamander	Plethodon websteri	M008	Southern Mesic Mixed Broadleaf Forest	5	8	211,854.9	213,213.1	1
bBCVIx	Black-capped Vireo	Vireo atricapilla	M130	Tamaulipan Scrub & Grassland	2	6	277,174.2	434,459.7	36
bEATOx	Eastern Towhee	Pipilo erythrophthalmus	M305	Southeastern North American Ruderal Forest	8	8	13,866,352.8	13,866,352.8	0
bPRFAx	Prairie Falcon	Falco mexicanus	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	1,133,697.0	1,133,697.0	0
bSUTAx	Summer Tanager	Piranga rubra	M305	Southeastern North American Ruderal Forest	5	8	9,480,835.4	14,108,690.7	33
mINMYx	Indiana Myotis	Myotis sodalis	M305	Southeastern North American Ruderal Forest	2	8	8,984.2	375,006.9	98
mTBCRx	Tawny-bellied Cotton Rat	Sigmodon fulviventer	M888	Arid West Interior Freswater Marsh	1	3	2,094.1	2,094.1	0
rDENIx	Desert Nightsnake	Hypsiglena chlorophaea	M094	Cool Interior Chaparral	2	2	41,049.4	41,049.4	0
bLALOx	Lapland Longspur	Calcarius lapponicus	M028	Great Plains Floodplain Forest	2	5	212,577.5	2,731,527.3	92
bLALOx	Lapland Longspur	Calcarius lapponicus	M067	Atlantic & Gulf Coastal Plain Wet Prairie & Marsh	6	11	93,642.3	100,029.8	6
bSUTAx	Summer Tanager	Piranga rubra	M028	Great Plains Floodplain Forest	5	5	361,931.9	361,931.9	0
bSUTAx	Summer Tanager	Piranga rubra	M036	Interior Warm & Cool Desert Riparian Forest	6	7	279,205.3	279,205.3	0
mTBCRx	Tawny-bellied Cotton Rat	Sigmodon fulviventer	M512	North American Warm Desert Ruderal Scrub & Grassland	1	1	826,879.0	826,879.0	0
mWTWOx	White-toothed Woodrat	Neotoma leucodon	M171	Great Basin-Intermountain Dry Shrubland & Grassland	4	7	479,271.4	524,996.1	9
rDENIx	Desert Nightsnake	Hypsiglena chlorophaea	M048	Central Rocky Mountain Montane-Foothill Grassland & Shrubland	3	6	293,652.5	378,337.8	22
rDENIx	Desert Nightsnake	Hypsiglena chlorophaea	M091	Warm Interior Chaparral	4	4	779,695.1	779,695.1	0
bLALOx	Lapland Longspur	Calcarius lapponicus	M059	Pacific Coastal Beach & Dune	1	3	4,405.1	11,871.9	63
bPRFAx	Prairie Falcon	Falco mexicanus	M028	Great Plains Floodplain Forest	1	5	141,519.4	3,097,381.9	95
bSUTAx	Summer Tanager	Piranga rubra	M027	Southern Rocky Mountain & Colorado Plateau Two-needle Pinyon - One-seed Juniper Woodland	1	4	149,745.7	249,188.0	40
rWEFOx	Western Foxsnake	Pantherophis vulpina	M028	Great Plains Floodplain Forest	3	5	26,479.9	26,479.9	0
rWEFOx	Western Foxsnake	Pantherophis vulpina	M305	Southeastern North American Ruderal Forest	1	8	75.7	75.7	0
bEATOx	Eastern Towhee	Pipilo erythrophthalmus	M008	Southern Mesic Mixed Broadleaf Forest	6	8	1,795,764.5	2,987,729.9	40
bLALOx	Lapland Longspur	Calcarius lapponicus	M309	Southeastern Coastal Plain Patch Prairie	2	3	303,546.8	317,807.0	4
bPRFAx	Prairie Falcon	Falco mexicanus	7.B.1	Herbaceous Agricultural Vegetation	1	1	57,549,180.4	57,549,180.4	0
bSUTAx	Summer Tanager	Piranga rubra	M008	Southern Mesic Mixed Broadleaf Forest	8	8	2,987,034.9	2,987,034.9	0
mPRSHx	Prairie Shrew	Sorex haydeni	M116	Great Plains Cliff, Scree & Rock Vegetation	1	2	42,294.9	48,345.8	13
mWTWOx	White-toothed Woodrat	Neotoma leucodon	10.A	Recently Disturbed or Modified	1	12	0.0	374,501.7	100
mWTWOx	White-toothed Woodrat	Neotoma leucodon	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	816,365.8	816,365.8	0
rWEFOx	Western Foxsnake	Pantherophis vulpina	7.B.1	Herbaceous Agricultural Vegetation	1	1	26,475,575.3	26,475,575.3	0
rDHNSx	Dusty Hog-nosed Snake	Heterodon gloydi	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	7	28	592,668.5	1,115,675.8	47
rCHNIx	Chihuahuan Nightsnake	Hypsiglena jani	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	6	28	1,319,387.6	1,408,451.0	6
mWGSQx	Western Gray Squirrel	Sciurus griseus	M024	Vancouverian Lowland & Montane Forest	7	10	3,532,765.1	3,680,994.6	4
rDHNSx	Dusty Hog-nosed Snake	Heterodon gloydi	M053	Great Plains Shortgrass Prairie	2	2	38,221.7	38,221.7	0
rMBHSx	Mexican Black-headed Snake	Tantilla atriceps	M054	Central Lowlands Tallgrass Prairie	1	7	96,475.0	96,475.0	0
mCRVOx	Creeping Vole	Microtus oregoni	M075	Western North American Montane-Subalpine Marsh, Wet Meadow & Shrubland	5	6	12,553.5	12,553.5	0
aPLSPx	Plains Spadefoot	Spea bombifrons	M069	Eastern North American Marsh, Wet Meadow & Shrubland	1	5	500,575.6	503,563.6	1
bACWOx	Acorn Woodpecker	Melanerpes formicivorus	8.A	Developed & Urban	1	4	790,972.8	2,919,593.9	73
bHBKIx	Hook-billed Kite	Chondrohierax uncinatus	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	9,102.5	9,102.5	0
bHETHx	Hermit Thrush	Catharus guttatus	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	2	3	340,801.1	1,434,689.0	76
bSHCOx	Shiny Cowbird	Molothrus bonariensis	8.A	Developed & Urban	2	4	85,405.3	175,816.1	51
bWITUi	Mexican Turkey	Meleagris gallopavo mexicana	M010	Madrean Lowland Evergreen Woodland	3	3	529,057.5	529,057.5	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M151	Great Plains Forest & Woodland	4	4	100,139.5	100,139.5	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	184,612.7	1,096,500.6	83
rEBTUb	Florida Box Turtle	Terrapene carolina bauri	M885	Southeastern Coastal Plain Evergreen Oak - Mixed Hardwood Forest	2	8	119,013.9	163,828.3	27
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M881	Eastern North American Riverscour Vegetation	1	2	65,405.3	70,033.8	7
rFLBRx	Florida Brownsnake	Storeria victa	M503	Central Hardwoods Swamp Forest	1	3	0.0	4.1	100
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M308	Southern Barrens & Glade	2	2	3,698.1	3,698.1	0
bYWARx	Yellow Warbler	Dendroica petechia	M151	Great Plains Forest & Woodland	4	4	989,493.2	989,493.8	0
mFBBAx	Florida Bonneted Bat	Eumops floridanus	11.A	Open Water	2	3	57,917.7	537,627.6	89
mFBBAx	Florida Bonneted Bat	Eumops floridanus	8.A	Developed & Urban	4	4	396,754.2	396,754.2	0
rDEBRx	Dekay's Brownsnake	Storeria dekayi	M170	Great Basin-Intermountain Dwarf Sagebrush Steppe & Shrubland	2	4	745.1	745.1	0
