Sppcode	strComName	strSciName	MGCode	MGName	N MU Tight	N MU Expanded	HabMG_Ha (Tight)	HabMG_Ha (Expanded)	MacroGroup % Increase
mPRSHx	Prairie Shrew	Sorex haydeni	M876	North American Boreal & Sub-Boreal Acidic Bog & Fen	1	2	6,947.5	6,947.5	0
rCFLSx	Common Five-lined Skink	Plestiodon fasciatus	M008	Southern Mesic Mixed Broadleaf Forest	6	8	2,858,934.9	2,987,912.3	4
rDENIx	Desert Nightsnake	Hypsiglena chlorophaea	10.A	Recently Disturbed or Modified	5	12	421,627.2	731,662.5	42
bBCVIx	Black-capped Vireo	Vireo atricapilla	M158	Great Plains Comanchian scrub & Open Vegetation	1	1	1,599,489.5	1,599,489.5	0
bBRTIx	Bridled Titmouse	Baeolophus wollweberi	10.A	Recently Disturbed or Modified	1	12	0.0	6,772.0	100
bEATOx	Eastern Towhee	Pipilo erythrophthalmus	M617	Caribbean Swamp	2	3	134,023.3	203,529.1	34
bPRFAx	Prairie Falcon	Falco mexicanus	M116	Great Plains Cliff, Scree & Rock Vegetation	2	2	147,275.7	147,275.7	0
bPRFAx	Prairie Falcon	Falco mexicanus	M130	Tamaulipan Scrub & Grassland	5	6	2,275,981.5	2,277,987.3	0
bSUTAx	Summer Tanager	Piranga rubra	M130	Tamaulipan Scrub & Grassland	2	6	3,308,146.0	4,649,271.5	29
bSUTAx	Summer Tanager	Piranga rubra	M154	Southern Great Plains Floodplain Forest & Woodland	2	2	896,099.3	896,099.3	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	7.B.2	Pasture & Hay Field Crop	1	1	43,106,210.7	43,106,210.7	0
bOCWAx	Orange-crowned Warbler	Vermivora celata	M054	Central Lowlands Tallgrass Prairie	1	7	0.0	477,205.8	100
bPIGRx	Pine Grosbeak	Pinicola enucleator	M022	Southern Rocky Mountain Lower Montane Forest	4	4	3,622,679.5	3,630,980.5	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M088	Mojave-Sonoran Semi-Desert Scrub	3	4	14,265,978.5	14,734,014.1	3
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M168	Rocky Mountain-Vancouverian Subalpine-High Montane Mesic Meadow	2	5	911,653.4	932,761.4	2
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M061	Eastern North American Cool Temperate Seep	1	1	36.6	36.6	0
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M036	Interior Warm & Cool Desert Riparian Forest	4	7	128,545.4	128,545.4	0
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	1	9	2,766.8	41,473.2	93
bBOWAx	Bohemian Waxwing	Bombycilla garrulus	M504	Laurentian-Acadian-Northeast Flooded & Swamp Forest	1	3	310,073.8	1,200,703.3	74
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M059	Pacific Coastal Beach & Dune	3	3	41,090.0	41,090.0	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M063	North Pacific Bog & Fen	2	3	4,512.5	4,602.5	2
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M086	Chihuahuan Desert Scrub	4	5	8,900,603.4	9,724,356.0	8
bPIGRx	Pine Grosbeak	Pinicola enucleator	M013	Eastern North American Ruderal Forest	2	2	2,010,899.3	2,010,899.3	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M099	Rocky Mountain-Sierran Alpine Tundra	1	7	188,212.0	459,295.0	59
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M886	Southern Vancouverian Dry Foothill Forest	1	3	19,800.5	157,015.3	87
rYBSLx	Yellow-backed Spiny Lizard	Sceloporus uniformis	M088	Mojave-Sonoran Semi-Desert Scrub	3	4	7,472,361.6	7,679,599.2	3
aFMSAx	Fourch Mountain Salamander	Plethodon fourchensis	M882	Central Midwest Mesic Forest	1	3	836.6	836.6	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M036	Interior Warm & Cool Desert Riparian Forest	4	7	344,811.1	898,030.4	62
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M054	Central Lowlands Tallgrass Prairie	7	7	5,665,718.0	5,665,718.0	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	8	9	456,981.0	514,750.2	11
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M888	Arid West Interior Freswater Marsh	1	3	179,318.6	370,869.4	52
bOCWAx	Orange-crowned Warbler	Vermivora celata	M015	Edwards Plateau Forest & Woodland	2	4	388,590.2	4,898,029.1	92
bOCWAx	Orange-crowned Warbler	Vermivora celata	M016	Southern & South-Central Oak - Hickory - Pine Forest & Woodland	23	28	5,826,763.2	6,504,873.9	10
bOCWAx	Orange-crowned Warbler	Vermivora celata	M022	Southern Rocky Mountain Lower Montane Forest	3	4	3,739,341.2	3,745,101.6	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M044	Californian Coastal Scrub	3	3	1,234,213.5	1,234,213.5	0
bOCWAx	Orange-crowned Warbler	Vermivora celata	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	3	9	279,734.0	411,264.6	32
bPIGRx	Pine Grosbeak	Pinicola enucleator	M887	Western North American Temperate Cliff, Scree & Rock Vegetation	2	9	278,849.5	321,741.0	13
mBDSHx	Baird's Shrew	Sorex bairdi	M886	Southern Vancouverian Dry Foothill Forest	2	3	30,947.2	78,021.5	60
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M501	Central Rocky Mountain Dry Lower Montane-Foothill Forest	6	6	114,258.1	114,258.1	0
mCHITx	Chital	Axis axis	M043	Californian Chaparral	1	6	1.1	476.6	100
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M032	Southern Coastal Plain Evergreen Hardwood-Conifer Swamp	2	5	90,237.7	90,237.7	0
mNOSSx	Northern Short-tailed Shrew	Blarina brevicauda	M888	Arid West Interior Freswater Marsh	1	3	341.4	341.4	0
bEUCDx	Eurasian Collared-dove	Streptopelia decaocto	M033	Southern Coastal Plain Basin Swamp & Flatwoods	6	12	951,854.1	1,662,691.6	43
bOCWAx	Orange-crowned Warbler	Vermivora celata	M013	Eastern North American Ruderal Forest	2	2	3,583,894.9	3,583,894.9	0
mBOGOx	Botta's Pocket Gopher	Thomomys bottae	M010	Madrean Lowland Evergreen Woodland	3	3	2,835,915.5	2,835,915.5	0
